status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,Raiffeisenlandesbank Niederösterreich-Wien,Raiffeisenlandesbank Niederösterreich-Wien AG,,,F.-W.-Raiffeisen-Platz 1,Wien,,1020,Wien,AUSTRIA,,,banken_privat_4_18-08-2020,,,info@raiffeisenbank.at,"Phone: +4351700900, Fax: ",,,,,,,,,,,,
,,Raiffeisen Landesbank Burgenland,Raiffeisenlandesbank Burgenland und Revisionsverband eGen,,,Friedrich Wilhelm Raiffeisen-Straße 1,Eisenstadt,,7000,Burgenland,AUSTRIA,,,banken_privat_5_18-08-2020,,,info.rlbb@raiffeisen-burgenland.at,"Phone: +4326826910, Fax: +432682691109",,,,,,,,,,,,
,,Raiffeisen-Landesbank Steiermark,Raiffeisen-Landesbank Steiermark AG,,,Kaiserfeldgasse 5,Graz,,8010,Steiermark,AUSTRIA,,,banken_privat_6_18-08-2020,,,info@rlbstmk.at,"Phone: +4331680360, Fax: +4331680363089",,,,,,,,,,,,
,,Raiffeisenlandesbank Kärnten,"Raiffeisenlandesbank Kärnten – Rechenzentrum und Revisionsverband, Registrierte Genossenschaft mit beschränkter Haftung",,,Raiffeisenplatz 1,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,banken_privat_7_18-08-2020,,,maria.wohlgemuth@rbgk.raiffeisen.at,"Phone: +434639930012812, Fax: ",,,,,,,,,,,,
,,Raiffeisenverband Salzburg,Raiffeisenverband Salzburg eGen,,,Schwarzstraße 13-15,Salzburg,,5020,Salzburg,AUSTRIA,,,banken_privat_8_18-08-2020,,,info@rvs.at,"Phone: +436628886, Fax: ",,,,,,,,,,,,
,,Raiffeisenlandesbank Oberösterreich,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,,,Europaplatz 1a,Linz,,4020,Oberösterreich,AUSTRIA,,,banken_privat_9_18-08-2020,,,internet@rlbooe.at,"Phone: +4373265960, Fax: +43732659622739",,,,,,,,,,,,
,,Raiffeisen-Landesbank Tirol,Raiffeisen-Landesbank Tirol AG,,,Adamgasse 1-7,Innsbruck,,6020,Tirol,AUSTRIA,,,banken_privat_10_18-08-2020,,,info@rlb-tirol.at,"Phone: +4351253050, Fax: +43512530511938",,,,,,,,,,,,
,,Raiffeisenlandesbank Vorarlberg,Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband registrierte Genossenschaft mit beschränkter Haftung,,,Rheinstraße 11,Bregenz,,6900,Vorarlberg,AUSTRIA,,,banken_privat_11_18-08-2020,,,info@raiba.at,"Phone: +4355744050, Fax: +435574405331",,,,,,,,,,,,
,,Volksbank Kärnten,Volksbank Kärnten eG,,,Pernhartgasse 7,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,banken_privat_12_18-08-2020,,,info@vbktn.at,"Phone: +4350909, Fax: +43509099001",,,,,,,,,,,,
,,Volksbank Niederösterreich,Volksbank Niederösterreich AG,,,Brunngasse 10,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,banken_privat_13_18-08-2020,,,kundenservice@vbnoe.at,"Phone: +4327423910, Fax: +4327423918001",,,,,,,,,,,,
,,Volksbank Oberösterreich,Volksbank Oberösterreich AG,,,Pfarrgasse 5,Wels,,4600,Oberösterreich,AUSTRIA,,,banken_privat_14_18-08-2020,,,office@vb-ooe.at,"Phone: +4372424950, Fax: +43724249597",,,,,,,,,,,,
,,Volksbank Salzburg,Volksbank Salzburg eG,,,St.-Julien-Straße 12,Salzburg,,5020,Salzburg,AUSTRIA,,,banken_privat_15_18-08-2020,,,kundenservice@volksbanksalzburg.at,"Phone: +4366286960, Fax: +43662869621",,,,,,,,,,,,
,,Volksbank Steiermark,Volksbank Steiermark AG,,,Schmiedgasse 31,Graz,,8010,Steiermark,AUSTRIA,,,banken_privat_16_18-08-2020,,,vertrieb@volksbank-stmk.at,"Phone: +4350901, Fax: +43509018169",,,,,,,,,,,,
,,Volksbank Tirol,Volksbank Tirol AG,,,Meinhardstraße 1,Innsbruck,,6020,Tirol,AUSTRIA,,,banken_privat_17_18-08-2020,,,kundenservice@volksbank.tirol,"Phone: +4350566, Fax: ",,,,,,,,,,,,
,,Volksbank Vorarlberg,Volksbank Vorarlberg e. Gen.,,,Ringstraße 27,Rankweil,,6830,Vorarlberg,AUSTRIA,,,banken_privat_18_18-08-2020,,,volksbank@vvb.at,"Phone: +43508828000, Fax: ",,,,,,,,,,,,
,,Volksbank Horn,Volksbank Wien AG,,,Hauptplatz 10,Horn,,3580,Niederösterreich,AUSTRIA,,,banken_privat_19_18-08-2020,,,kundenservice@volksbankwien.at,"Phone: +4329822204, Fax: ",,,,,,,,,,,,
,,Volksbank Wien,Volksbank Wien AG,,,Dietrichgasse 25,Wien,,1030,Wien,AUSTRIA,,,banken_privat_20_18-08-2020,,,kundenservice@volksbankwien.at,"Phone: +431401370, Fax: +431401377600",,,,,,,,,,,,
,,Oberbank,Oberbank AG,,,Untere Donaulände 28,Linz,,4020,Oberösterreich,AUSTRIA,,,banken_privat_21_18-08-2020,,,office@oberbank.at,"Phone: +4373278020, Fax: +43732780232140",,,,,,,,,,,,
,,BTV,Bank für Tirol und Vorarlberg Aktiengesellschaft,,,Stadtforum 1,Innsbruck,,6020,Tirol,AUSTRIA,,,banken_privat_22_18-08-2020,,,info@btv.at,"Phone: +435053330, Fax: ",,,,,,,,,,,,
,,BKS,BKS Bank AG,,,St. Veiter Ring 43,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,banken_privat_23_18-08-2020,,,bks@bks.at,"Phone: +434635858, Fax: ",,,,,,,,,,,,
,,Hypo NOE und Wien,HYPO NOE Landesbank für Niederösterreich und Wien AG,,,Hypogasse 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,banken_privat_24_18-08-2020,,,landesbank@hyponoe.at,"Phone: +435909100, Fax: ",,,,,,,,,,,,
,,Hypo Tirol,Hypo Tirol Bank AG,,,Meraner Straße 8,Innsbruck,,6020,Tirol,AUSTRIA,,,banken_privat_25_18-08-2020,,,service@hypotirol.com,"Phone: +43507000, Fax: +435070041000",,,,,,,,,,,,
,,Hypo Vorarlberg,Hypo Vorarlberg Bank AG,,,Hypo-Passage 1,Bregenz,,6900,Vorarlberg,AUSTRIA,,,banken_privat_26_18-08-2020,,,info@hypovbg.at,"Phone: +43504141000, Fax: +43504141050",,,,,,,,,,,,
,,Hypo Burgenland,HYPO-BANK BURGENLAND Aktiengesellschaft,,,Neusiedlerstraße 33,Eisenstadt,,7000,Burgenland,AUSTRIA,,,banken_privat_27_18-08-2020,,,info@bank-bgld.at,"Phone: +4326826050, Fax: +4326826057209",,,,,,,,,,,,
,,Hypo Oberösterreich,Oberösterreichische Landesbank Aktiengesellschaft,,,Landstraße 38,"Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,banken_privat_28_18-08-2020,,,office@hypo-ooe.at,"Phone: +4373276390, Fax: +437327639954954",,,,,,,,,,,,
,,Hypo Salzburg,Salzburger Landes‑Hypothekenbank Aktiengesellschaft,,,Residenzplatz 7,Salzburg,,5020,Salzburg,AUSTRIA,,,banken_privat_29_18-08-2020,,,office@hyposalzburg.at,"Phone: +436628046, Fax: +43662804664646",,,,,,,,,,,,
,,Hypo Steiermark,Landes-Hypothekenbank Steiermark AG,,,Radetzkystraße 15-17,Graz,,8010,Steiermark,AUSTRIA,,,banken_privat_30_18-08-2020,,,hypo@landes.hypobank.at,"Phone: +4331680510, Fax: +4331680515354",,,,,,,,,,,,
,,Ärzte- und Apothekerbank,Österreichische Ärzte- und Apothekerbank AG,,,Schottengasse 10,Wien,,1010,Wien,AUSTRIA,,,banken_privat_31_18-08-2020,,,kundenservice@apobank.at,"Phone: +431400800, Fax: ",,,,,,,,,,,,
,,Austrian Anadi Bank,Austrian Anadi Bank AG,,,Domgasse 5,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,banken_privat_32_18-08-2020,,,austrian@anadibank.com,"Phone: +43502020, Fax: +43502023000",,,,,,,,,,,,
,,Bankhaus Carl Spängler,Bankhaus Carl Spängler & Co. AG,,,Schwarzstraße 1,Salzburg,,5020,Salzburg,AUSTRIA,,,banken_privat_33_18-08-2020,,,bankhaus@spaengler.at,"Phone: +4366286860, Fax: +436628686158",,,,,,,,,,,,
,,Bankhaus Schelhammer & Schattera,Bankhaus Schelhammer and Schattera AG,,,Goldschmiedgasse 3,Wien,,1010,Wien,AUSTRIA,,,banken_privat_34_18-08-2020,,,bank.office@schelhammer.at,"Phone: +431534340, Fax: +431534348065",,,,,,,,,,,,
,,bank99,bank99 AG,,,Rochusplatz 1,Wien,,1030,Wien,AUSTRIA,,,banken_privat_35_18-08-2020,,,info@bank99.at,"Phone: +43800099099, Fax: ",,,,,,,,,,,,
,,Capital Bank,CAPITAL BANK – GRAWE Gruppe AG,,,Burgring 16,Graz,,8010,Steiermark,AUSTRIA,,,banken_privat_36_18-08-2020,,,office@capitalbank.at,"Phone: +433168072, Fax: +4331680722291",,,,,,,,,,,,
,,DolomitenBank,DolomitenBank Osttirol-Westkärnten eG,,,Südtiroler Platz 9,Lienz,,9900,Tirol,AUSTRIA,,,banken_privat_37_18-08-2020,,,info@dolomitenbank.at,"Phone: +43485266650, Fax: +434852666535",,,,,,,,,,,,
,,easybank,easybank AG,,,Wiedner Gürtel 11,Wien,,1100,Wien,AUSTRIA,,,banken_privat_38_18-08-2020,,,easy@easybank.at,"Phone: +4357005535, Fax: +4357005590",,,,,,,,,,,,
,,Schoellerbank,Schoellerbank AG,,,Renngasse 3,Wien,,1010,Wien,AUSTRIA,,,banken_privat_39_18-08-2020,,,info@schoellerbank.at,"Phone: +431534710, Fax: +431534711655",,,,,,,,,,,,
,,SPARDA-BANK,Volksbank Wien AG,,,Bahnhofplatz 7,Villach,,9500,Kärnten,AUSTRIA,,,banken_privat_40_18-08-2020,,,mail@sparda.at,"Phone: +43424228156, Fax: +434242281569485",,,,,,,,,,,,
,,VKB,Volkskreditbank AG,,,"Rudigierstraße 5-7, Postfach 116","Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,banken_privat_41_18-08-2020,,,service@vkb-bank.at,"Phone: +4373276370, Fax: +4373276371484",,,,,,,,,,,,
,,Marchfelder Bank,Marchfelder Bank eG,,,Marchfelder-Platz 1-2,Gänserndorf,,2230,Niederösterreich,AUSTRIA,,,banken_privat_42_18-08-2020,,,mail@marchfelderbank.at,"Phone: +43228289250, Fax: +432282892510",,,,,,,,,,,,
,,Sparkasse Feldkirchen,"Sparkasse Feldkirchen, Vereinssparkasse",,,Sparkassenstraße 1a,Feldkirchen in Kärnten,,9560,Kärnten,AUSTRIA,,,banken_privat_43_18-08-2020,,,Info@Feldkirchen.Sparkasse.at,"Phone: +435010033400, Fax: +4350100933400",,,,,,,,,,,,
,,Kärntner Sparkasse,Kärntner Sparkasse AG,,,Neuer Platz 14,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,banken_privat_44_18-08-2020,,,info@kspk.at,"Phone: +435010020706, Fax: +4350100930800",,,,,,,,,,,,
,,Sparkasse der Stadt Amstetten,Sparkasse der Stadt Amstetten AG,,,Hauptplatz 31,Amstetten,,3300,Niederösterreich,AUSTRIA,,,banken_privat_45_18-08-2020,,,info@amstetten.sparkasse.at,"Phone: +435010025400, Fax: +4350100925400",,,,,,,,,,,,
,,Sparkasse Baden,"Sparkasse Baden, Vereinssparkasse",,,Hauptplatz 15,Baden,,2500,Niederösterreich,AUSTRIA,,,banken_privat_46_18-08-2020,,,info@sparkassebaden.at,"Phone: +435010020205, Fax: +435010020205",,,,,,,,,,,,
,,Sparkasse Hainburg-Bruck-Neusiedl,Sparkasse Hainburg-Bruck-Neusiedl AG,,,Hauptplatz 1,Hainburg an der Donau,,2410,Niederösterreich,AUSTRIA,,,banken_privat_47_18-08-2020,,,info@sparkasse.hbn.at,"Phone: +435010020216, Fax: +435010020216",,,,,,,,,,,,
,,Sparkasse Haugsdorf,Sparkasse Haugsdorf Vereinssparkasse,,,Hauptplatz 1,Haugsdorf,,2054,Niederösterreich,AUSTRIA,,,banken_privat_48_18-08-2020,,,info@haugsdorf.sparkasse.at,"Phone: +435010079800, Fax: +435010020218",,,,,,,,,,,,
,,Sparkasse Herzogenburg-Neulengbach,Sparkasse Herzogenburg-Neulengbach Bank AG,,,Rathausplatz 9-10,Herzogenburg,,3130,Niederösterreich,AUSTRIA,,,banken_privat_49_18-08-2020,,,spk@herzogenburg.sparkasse.at,"Phone: +435010010100, Fax: +435010025100",,,,,,,,,,,,
,,Sparkasse Horn-Ravelsbach-Kirchberg,Sparkasse Horn-Ravelsbach-Kirchberg AG,,,Kirchenplatz 12,Horn,,3580,Niederösterreich,AUSTRIA,,,banken_privat_50_18-08-2020,,,office@horn.sparkasse.at,"Phone: +435010026000, Fax: +435010020221",,,,,,,,,,,,
,,Sparkasse Korneuburg,Sparkasse Korneuburg AG,,,Sparkassenplatz 1,Korneuburg,,2100,Niederösterreich,AUSTRIA,,,banken_privat_51_18-08-2020,,,information@korneuburg.sparkasse.at,"Phone: +435010043200, Fax: +435010020227",,,,,,,,,,,,
,,Kremser Bank und Sparkasse,Kremser Bank und Sparkassen AG,,,Ringstraße 5-7,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,banken_privat_52_18-08-2020,,,info@kremserbank.at,"Phone: +435010025500, Fax: +435010020228",,,,,,,,,,,,
,,Sparkasse Langenlois,Sparkasse Langenlois Vereinssparkasse,,,Kornplatz 2a,Langenlois,,3550,Niederösterreich,AUSTRIA,,,banken_privat_53_18-08-2020,,,info@langenlois.sparkasse.at,"Phone: +435010079700, Fax: +4350100979700",,,,,,,,,,,,
,,Sparkasse Neunkirchen,Sparkasse Neunkirchen,,,Hauptplatz 2,Neunkirchen,,2620,Niederösterreich,AUSTRIA,,,banken_privat_54_18-08-2020,,,service@neunkirchen.sparkasse.at,"Phone: +435010020241, Fax: +4350100972600",,,,,,,,,,,,
,,Sparkasse Pottenstein N.Ö.,Sparkasse Pottenstein N.Ö. Vereinssparkasse,,,Hauptplatz 5,Pottenstein,,2563,Niederösterreich,AUSTRIA,,,banken_privat_55_18-08-2020,,,office@pottenstein.sparkasse.at,"Phone: +435010020245, Fax: +4350100925950",,,,,,,,,,,,
,,Sparkasse Poysdorf,Sparkasse Poysdorf AG,,,Dreifaltigkeitsplatz 2,Poysdorf,,2170,Niederösterreich,AUSTRIA,,,banken_privat_56_18-08-2020,,,office@poysdorf.sparkasse.at,"Phone: +4350100–25200, Fax: +435010020246",,,,,,,,,,,,
,,Sparkasse Niederösterreich Mitte West,Sparkasse Niederösterreich Mitte West AG,,,Domgasse 5,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,banken_privat_57_18-08-2020,,,office@spknoe.at,"Phone: +435010073200, Fax: +4350100973131",,,,,,,,,,,,
,,Sparkasse Scheibbs,Sparkasse Scheibbs AG,,,Hauptstraße 9,Scheibbs,,3270,Niederösterreich,AUSTRIA,,,banken_privat_58_18-08-2020,,,info@scheibbs.sparkasse.at,"Phone: +435010079900, Fax: +4350100979900",,,,,,,,,,,,
,,Wiener Neustädter Sparkasse,Wiener Neustädter Sparkasse Vereinssparkasse,,,Neunkirchner Straße 4,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,banken_privat_59_18-08-2020,,,info@wrneustadt.sparkasse.at,"Phone: +435010038200, Fax: +4.50100938200",,,,,,,,,,,,
,,Waldviertler Sparkasse,Waldviertler Sparkasse Bank AG,,,Sparkassenplatz 3,Zwettl,,3910,Niederösterreich,AUSTRIA,,,banken_privat_60_18-08-2020,,,office@wspk.at,"Phone: +435010079300, Fax: +435010020272",,,,,,,,,,,,
,,Sparkasse Salzkammergut,Sparkasse Salzkammergut AG,,,Sparkassenplatz 1,Bad Ischl,,4820,Oberösterreich,AUSTRIA,,,banken_privat_61_18-08-2020,,,office@salzkammergut.sparkasse.at,"Phone: +435010049600, Fax: +4350100949600",,,,,,,,,,,,
,,Sparkasse Eferding-Peuerbach-Waizenkirchen,Sparkasse Eferding-Peuerbach-Waizenkirchen Vereinssparkasse,,,Stadtplatz 1,Eferding,,4070,Oberösterreich,AUSTRIA,,,banken_privat_62_18-08-2020,,,info@epw.sparkasse.at,"Phone: +435010042000, Fax: +4350100942000",,,,,,,,,,,,
,,Sparkasse Frankenmarkt,Sparkasse Frankenmarkt AG,,,Hauptstraße 94,Frankenmarkt,,4890,Oberösterreich,AUSTRIA,,,banken_privat_63_18-08-2020,,,Info@frankenmarkt.sparkasse.at,"Phone: +435010049000, Fax: +4350100949000",,,,,,,,,,,,
,,Sparkasse Lambach,Sparkasse Lambach Bank AG,,,Klosterplatz 3,Lambach,,4650,Oberösterreich,AUSTRIA,,,banken_privat_64_18-08-2020,,,info@lambach.sparkasse.at,"Phone: +435010043000, Fax: +4350100943000",,,,,,,,,,,,
,,Allgemeine Sparkasse Oberösterreich,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft,,,Promenade 11 – 13,Linz,,4020,Oberösterreich,AUSTRIA,,,banken_privat_65_18-08-2020,,,ebusiness@sparkasse-ooe.at,"Phone: +435010040000, Fax: +4350100940000",,,,,,,,,,,,
,,Sparkasse Neuhofen,Sparkasse Neuhofen Bank AG,,,Marktplatz 18,Neuhofen an der Krems,,4501,Oberösterreich,AUSTRIA,,,banken_privat_66_18-08-2020,,,info@neuhofen.sparkasse.at,"Phone: +435010042300, Fax: +4350100942300",,,,,,,,,,,,
,,Sparkasse Pregarten-Unterweißenbach,Sparkasse Pregarten-Unterweißenbach AG,,,Stadtplatz 19,Pregarten,,4230,Oberösterreich,AUSTRIA,,,banken_privat_67_18-08-2020,,,office@pregarten.sparkasse.at,"Phone: +435010042700, Fax: +435010042741",,,,,,,,,,,,
,,Sparkasse Ried im Innkreis-Haag am Hausruck,Sparkasse Ried im Innkreis-Haag am Hausruck Gemeindesparkasse,,,Marktplatz 2,Ried im Innkreis,,4910,Oberösterreich,AUSTRIA,,,banken_privat_68_18-08-2020,,,mail@sparkasse-ried.at,"Phone: +435010049400, Fax: +435010052222",,,,,,,,,,,,
,,Sparkasse Mühlviertel-West Bank,Sparkasse Mühlviertel-West Bank AG,,,Stadtplatz 24,Rohrbach in Oberösterreich,,4150,Oberösterreich,AUSTRIA,,,banken_privat_69_18-08-2020,,,smw@smw.at,"Phone: +435010042800, Fax: +4350100942800",,,,,,,,,,,,
,,Sparkasse Mittersill,Sparkasse Mittersill AG,,,Stadtplatz 4,Mittersill,,5730,Salzburg,AUSTRIA,,,banken_privat_70_18-08-2020,,,info@mittersill.sparkasse.at,"Phone: +435010048700, Fax: +4350100948700",,,,,,,,,,,,
,,Salzburger Sparkasse,Salzburger Sparkasse Bank AG,,,Alter Markt 3. Postfach 180,Salzburg Postfach,,5021,Salzburg,AUSTRIA,,,banken_privat_71_18-08-2020,,,info@salzburg.sparkasse.at,"Phone: +435010041000, Fax: +4350100941000",,,,,,,,,,,,
,,Steiermärkische Bank und Sparkasse,Steiermärkische Bank und Sparkassen AG,,,Sparkassenplatz 4,Graz,,8010,Steiermark,AUSTRIA,,,banken_privat_72_18-08-2020,,,info@steiermaerkische.at,"Phone: +435010036000, Fax: +4350100936000",,,,,,,,,,,,
,,Sparkasse Mürzzuschlag,Sparkasse Mürzzuschlag AG,,,Wiener Straße 78,Mürzzuschlag,,8680,Steiermark,AUSTRIA,,,banken_privat_73_18-08-2020,,,info@muerzzuschlag.sparkasse.at,"Phone: +435010037300, Fax: +4350100937300",,,,,,,,,,,,
,,Sparkasse Pöllau,Sparkasse Pöllau AG,,,Hauptplatz 2,Pöllau bei Hartberg,,8225,Steiermark,AUSTRIA,,,banken_privat_74_18-08-2020,,,info@poellau.sparkasse.at,"Phone: +435010037400, Fax: +4350100937400",,,,,,,,,,,,
,,Sparkasse Voitsberg-Köflach Bank,Sparkasse Voitsberg-Köflach Bank AG,,,Bahnhofstraße 2,Voitsberg,,8570,Steiermark,AUSTRIA,,,banken_privat_75_18-08-2020,,,info@vk.sparkasse.at,"Phone: +435010037500, Fax: +4350100937500",,,,,,,,,,,,
,,Sparkasse Imst,Sparkasse Imst AG,,,Sparkassenplatz 1,Imst,,6460,Tirol,AUSTRIA,,,banken_privat_76_18-08-2020,,,service@imst.sparkasse.at,"Phone: +435010077000, Fax: +4350100977000",,,,,,,,,,,,
,,Tiroler Sparkasse,Tiroler Sparkasse Bankaktiengesellschaft Innsbruck,,,"Sparkassenplatz 1, Postfach 245",Innsbruck,,6010,Tirol,AUSTRIA,,,banken_privat_77_18-08-2020,,,sparkasse@tirolersparkasse.at,"Phone: +435010070000, Fax: +4350100970000",,,,,,,,,,,,
,,Sparkasse der Stadt Kitzbühel,Sparkasse der Stadt Kitzbühel Gemeindesparkasse,,,Bahnhofstraße 6,Kitzbühel,,6370,Tirol,AUSTRIA,,,banken_privat_78_18-08-2020,,,info@sparkasse-kitzbuehel.at,"Phone: +435010078600, Fax: ",,,,,,,,,,,,
,,Sparkasse Kufstein,Sparkasse Kufstein Vereinssparkasse,,,Oberer Stadtplatz 1,Kufstein,,6330,Tirol,AUSTRIA,,,banken_privat_79_18-08-2020,,,service@sparkasse-kufstein.at,"Phone: +435010076000, Fax: +4350100976000",,,,,,,,,,,,
,,Lienzer Sparkasse,Lienzer Sparkasse AG,,,Johannesplatz 6,Lienz,,9900,Tirol,AUSTRIA,,,banken_privat_80_18-08-2020,,,info@lienzer.sparkasse.at,"Phone: +435010033500, Fax: +4350100933500",,,,,,,,,,,,
,,Sparkasse Rattenberg,Sparkasse Rattenberg Bank AG,,,Sparkassenplatz 69,Rattenberg,,6240,Tirol,AUSTRIA,,,banken_privat_81_18-08-2020,,,info@rattenberg.sparkasse.at,"Phone: +435010076400, Fax: +4350100976400",,,,,,,,,,,,
,,Sparkasse Reutte,Sparkasse Reutte AG,,,Obermarkt 51,Reutte,,6600,Tirol,AUSTRIA,,,banken_privat_82_18-08-2020,,,office@sparkasse-reutte.at,"Phone: +435010076800, Fax: +4350100976800",,,,,,,,,,,,
,,Sparkasse Schwaz,Sparkasse Schwaz AG,,,Franz-Josef-Straße 8 – 10,Schwaz,,6130,Tirol,AUSTRIA,,,banken_privat_83_18-08-2020,,,info@sparkasse-schwaz.at,"Phone: +435010077300, Fax: +4350100977300",,,,,,,,,,,,
,,Sparkasse Bludenz,Sparkasse Bludenz Bank AG,,,Sparkassenplatz 1,Bludenz,,6700,Vorarlberg,AUSTRIA,,,banken_privat_84_18-08-2020,,,info@bludenz.sparkasse.at,"Phone: +435010077800, Fax: +4350100977800",,,,,,,,,,,,
,,Sparkasse Bregenz,Sparkasse Bregenz Bank AG,,,"Sparkassenplatz 1, Postfach 331",Bregenz Postfach,,6901,Vorarlberg,AUSTRIA,,,banken_privat_85_18-08-2020,,,mail@bregenz.sparkasse.at,"Phone: +435010075000, Fax: +4350100975000",,,,,,,,,,,,
,,Dornbirner Sparkasse,Dornbirner Sparkasse Bank AG,,,"Sparkassenplatz 1, Postfach 18",Dornbirn,,6850,Vorarlberg,AUSTRIA,,,banken_privat_86_18-08-2020,,,service@dornbirn.sparkasse.at,"Phone: +435010074000, Fax: +4350100974000",,,,,,,,,,,,
,,Sparkasse der Gemeinde Egg,Sparkasse der Gemeinde Egg Gemeindesparkasse,,,Loco 873,Egg,,6863,Vorarlberg,AUSTRIA,,,banken_privat_87_18-08-2020,,,info@egg.sparkasse.at,"Phone: +435010075500, Fax: +4350100975500",,,,,,,,,,,,
,,Sparkasse der Stadt Feldkirch,Sparkasse der Stadt Feldkirch Vereinssparkasse,,,"Sparkassenplatz 1, Postfach 50",Feldkirch,,6800,Vorarlberg,AUSTRIA,,,banken_privat_88_18-08-2020,,,info@feldkirch.sparkasse.at,"Phone: +435010043600, Fax: +4350100943600",,,,,,,,,,,,
,,Die Zweite Sparkasse,Die Zweite Wiener Vereins-Sparcasse,,,"Am Schweizer Garten 1, Objekt 2",Wien,,1030,Wien,AUSTRIA,,,banken_privat_89_18-08-2020,,,wien7@diezweitesparkasse.at,"Phone: +435010023092, Fax: ",,,,,,,,,,,,
,,Bildungsdirektion Salzburg,Bildungsdirektion Salzburg,,,Mozartplatz 8-10,Salzburg,,5010,Salzburg,AUSTRIA,,,salzburg_salzburg_1_19-08-2020,,,homepage@bildung-sbg.gv.at,"Phone: +436628083, Fax: +4366280831099",,,,,,,,,,,,
,,Landespolizeidirektion Salzburg,Landespolizeidirektion Salzburg,,,Alpenstraße 90,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_2_19-08-2020,,,LPD-S@polizei.gv.at,"Phone: +4359133500, Fax: +4359133507800",,,,,,,,,,,,
,,Wirtschaftskammer Salzburg,Wirtschaftskammer Salzburg,,,Julius-Raab-Platz 1,Salzburg,,5027,Salzburg,AUSTRIA,,,salzburg_salzburg_3_18-08-2020,,,info@wks.at,"Phone: +4366288880, Fax: +436628888188",,,,,,,,,,,,
,,Rechtanswaltskammer Salzburg,Rechtanswaltskammer Salzburg,,,Imbergstraße 31C,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_4_18-08-2020,,,info@srak.at,"Phone: +43662640042, Fax: +43662640428",,,,,,,,,,,,
,,Landeszahnärztekammer Salzburg,Landeszahnärztekammer Salzburg,,,Rochusgasse 4,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_5_18-08-2020,,,office@sbg.zahnaerztekammer.at,"Phone: +43505115020, Fax: +43505115025",,,,,,,,,,,,
,,Notariatskammer für Salzburg,Notariatskammer für Salzburg,,,Ignaz-Harrer-Straße 7,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_6_18-08-2020,,,salzburg@notariatskammer.at,"Phone: +43662845359, Fax: +436628453594",,,,,,,,,,,,
,,Ärztekammer Salzburg,Ärztekammer Salzburg,,,Faberstraße 10,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_7_18-08-2020,,,aeksbg@aeksbg.at,"Phone: +436628713270, Fax: +4366287132710",,,,,,,,,,,,
,,Apothekerkammer Salzburg,Apothekerkammer Salzburg,,,Alpenstraße 112/2,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_8_18-08-2020,,,salzburg@apothekerkammer.at,"Phone: +43662627496, Fax: +4366262751314",,,,,,,,,,,,
,,Arbeiterkammer Salzburg,Kammer für Arbeiter und Angestellte für Salzburg,,,Markus-Sittikus-Straße 10,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_9_18-08-2020,,,kontakt@ak-salzburg.at,"Phone: +436628687, Fax: +43662876258",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Salzburg,Kammer der Steuerberater und Wirtschaftsprüfer Salzburg,,,Rainerstraße 5/3,Salzburg,,5020,Salzburg,AUSTRIA,,,salzburg_salzburg_10_18-08-2020,,,salzburg@ksw.or.at,"Phone: +436628711680, Fax: +436628711683",,,,,,,,,,,,
,,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,,,Kaarstraße 2/II,Linz,,4040,Oberösterreich,AUSTRIA,,,salzburg_salzburg_11_18-08-2020,,,linz@arching-zt.at,"Phone: +43732738394, Fax: +437327383944",,,,,,,,,,,,
